,Symbol,Name,MarketCap,mcap
152,AROC,"Archrock, Inc.",$1.07B,1070000000
153,ARNC,Arconic Corporation,$1.83B,1830000000
154,ARCO,Arcos Dorados Holdings Inc.,$1.01B,1010000000
155,ACA,"Arcosa, Inc.",$2.09B,2090000000
156,RCUS,"Arcus Biosciences, Inc.",$1.22B,1220000000
157,ARD,Ardagh Group S.A.,$3.24B,3240000000
158,ASC,Ardmore Shipping Corporation,$131.57M,131570000
159,ACRE,Ares Commercial Real Estate Corporation,$294.29M,294290000
160,ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",$277.96M,277960000
161,ARES,Ares Management Corporation,$5.43B,5430000000
162,AGX,"Argan, Inc.",$749.01M,749010000
163,ARGO,"Argo Group International Holdings, Ltd.",$1.18B,1180000000
164,ANET,"Arista Networks, Inc.",$17.32B,17320000000
165,AI,Arlington Asset Investment Corp,$113.02M,113020000
166,ARLO,"Arlo Technologies, Inc.",$275.44M,275440000
167,AHH,"Armada Hoffler Properties, Inc.",$741.88M,741880000
168,ARR,"ARMOUR Residential REIT, Inc.",$628.42M,628420000
169,AFI,"Armstrong Flooring, Inc.",$68.45M,68450000
170,AWI,Armstrong World Industries Inc,$3.83B,3830000000
171,ARW,"Arrow Electronics, Inc.",$5.28B,5280000000
172,AJG,Arthur J. Gallagher & Co.,$19.73B,19730000000
173,APAM,Artisan Partners Asset Management Inc.,$2.73B,2730000000
174,ASA,ASA Gold and Precious Metals Limited,$409.72M,409720000
175,ABG,Asbury Automotive Group Inc,$1.92B,1920000000
176,ASX,"ASE Technology Holding Co., Ltd.",$10.21B,10210000000
177,ASGN,ASGN Incorporated,$3.59B,3590000000
178,AHT,Ashford Hospitality Trust Inc,$50.7M,50700000
179,ASH,Ashland Global Holdings Inc.,$4.63B,4630000000
180,ASPN,"Aspen Aerogels, Inc.",$173.4M,173400000
181,AMK,"AssetMark Financial Holdings, Inc.",$2.07B,2070000000
182,ASB,Associated Banc-Corp,$2.05B,2050000000
183,AC,"Associated Capital Group, Inc.",$880.05M,880050000
184,AIZ,"Assurant, Inc.",$6.25B,6250000000
185,AGO,Assured Guaranty Ltd.,$1.98B,1980000000
186,AZN,Astrazeneca PLC,$152.41B,152410000000
187,HOME,At Home Group Inc.,$440.97M,440970000
188,T,AT&T Inc.,$215.53B,215530000000
189,ATTO,Atento S.A.,$103.21M,103210000
190,ATH,Athene Holding Ltd.,$6.57B,6570000000
191,ATKR,Atkore International Group Inc.,$1.29B,1290000000
192,AT,Atlantic Power Corporation,$189.88M,189880000
193,ATCO,Atlas Corp.,$1.75B,1750000000
194,ATO,Atmos Energy Corporation,$12.49B,12490000000
195,ACB,Aurora Cannabis Inc.,$1.31B,1310000000
196,ATHM,Autohome Inc.,$9.48B,9480000000
197,ALV,"Autoliv, Inc.",$5.77B,5770000000
198,AN,"AutoNation, Inc.",$3.94B,3940000000
199,AZO,"AutoZone, Inc.",$27B,27000000000
200,AVLR,"Avalara, Inc.",$9.89B,9890000000
201,AVB,"AvalonBay Communities, Inc.",$20.76B,20760000000
202,AGR,"Avangrid, Inc.",$14.63B,14630000000
203,AVNS,"Avanos Medical, Inc.",$1.53B,1530000000
204,AVTR,"Avantor, Inc.",$10.74B,10740000000
205,AVYA,Avaya Holdings Corp.,$1.04B,1040000000
206,AVY,Avery Dennison Corporation,$10.04B,10040000000
207,AVNT,Avient Corporation,$2.35B,2350000000
208,AVA,Avista Corporation,$2.55B,2550000000
209,AXTA,Axalta Coating Systems Ltd.,$5.36B,5360000000
210,AXS,Axis Capital Holdings Limited,$3.39B,3390000000
211,AX,"Axos Financial, Inc.",$1.27B,1270000000
212,AZUL,Azul S.A.,$1.44B,1440000000
213,AZRE,Azure Power Global Limited,$891.78M,891780000
214,AZZ,AZZ Inc.,$837.46M,837460000
215,BGS,"B&G Foods, Inc.",$1.7B,1700000000
216,BMRG,B. Riley Principal Merger Corp. II,$244.56M,244560000
217,BW,Babcock,$122.29M,122290000
218,BGH,Babson Global Short Duration High Yield Fund,$255.54M,255540000
219,BMI,"Badger Meter, Inc.",$1.83B,1830000000
220,BCSF,"Bain Capital Specialty Finance, Inc.",$648.85M,648850000
221,BKR,Baker Hughes Company,$16.84B,16840000000
222,BBN,BalckRock Taxable Municipal Bond Trust,$1.48B,1480000000
223,BLL,Ball Corporation,$23.69B,23690000000
224,BANC,"Banc of California, Inc.",$519.14M,519140000
225,BBAR,Banco BBVA Argentina S.A.,$855.75M,855750000
226,BBVA,Banco Bilbao Viscaya Argentaria S.A.,$23.83B,23830000000
227,BBD,Banco Bradesco Sa,$38.7B,38700000000
228,BBDO,Banco Bradesco Sa,$35.61B,35610000000
229,BCH,Banco De Chile,$9.25B,9250000000
230,BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",$447.64M,447640000
231,BSBR,Banco Santander Brasil SA,$43.72B,43720000000
232,BSAC,Banco Santander Chile,$7.79B,7790000000
233,BSMX,"Banco Santander Mexico, S.A., Institucion de Ban",$4.53B,4530000000
234,SAN,"Banco Santander, S.A.",$41.03B,41030000000
235,CIB,BanColombia S.A.,$6.61B,6610000000
236,BXS,BancorpSouth Bank,$2.31B,2310000000
237,BAC,Bank of America Corporation,$211.58B,211580000000
238,BOH,Bank of Hawaii Corporation,$2.4B,2400000000
239,BMO,Bank Of Montreal,$35.64B,35640000000
240,NTB,Bank of N.T. Butterfield & Son Limited (The),$1.3B,1300000000
241,BNS,Bank of Nova Scotia (The),$50.82B,50820000000
242,BKU,"BankUnited, Inc.",$1.72B,1720000000
243,BCS,Barclays PLC,$25.5B,25500000000
244,BBDC,"Barings BDC, Inc.",$373.62M,373620000
245,MCI,Barings Corporate Investors,$270.9M,270900000
246,MPV,Barings Participation Investors,$127.22M,127220000
247,BNED,"Barnes & Noble Education, Inc",$105.21M,105210000
248,B,"Barnes Group, Inc.",$1.98B,1980000000
249,GOLD,Barrick Gold Corporation,$50.19B,50190000000
250,BHC,Bausch Health Companies Inc.,$6.28B,6280000000
251,BAX,Baxter International Inc.,$45.12B,45120000000
252,BTE,Baytex Energy Corp,$300.04M,300040000
253,BBX,BBX Capital Corporation,$272.34M,272340000
254,BCE,"BCE, Inc.",$37.92B,37920000000
255,BZH,"Beazer Homes USA, Inc.",$338.2M,338200000
256,BDX,"Becton, Dickinson and Company",$80B,80000000000
257,BDC,Belden Inc,$1.5B,1500000000
258,BRBR,"BellRing Brands, Inc.",$808.29M,808290000
259,BHE,"Benchmark Electronics, Inc.",$745.43M,745430000
260,BHLB,"Berkshire Hills Bancorp, Inc.",$535.48M,535480000
261,BERY,"Berry Global Group, Inc.",$6.27B,6270000000
262,BBY,"Best Buy Co., Inc.",$23.32B,23320000000
263,BEST,BEST Inc.,$1.81B,1810000000
264,BGSF,BG Staffing Inc,$100.39M,100390000
265,BHP,BHP Group Limited,$134.84B,134840000000
266,BBL,BHP Group Plc,$112.6B,112600000000
267,BIG,"Big Lots, Inc.",$1.62B,1620000000
268,BH,Biglari Holdings Inc.,$199.49M,199490000
269,BILL,"Bill.com Holdings, Inc.",$6.8B,6800000000
270,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,$4.25B,4250000000
271,BIO,"Bio-Rad Laboratories, Inc.",$15.39B,15390000000
272,BITA,Bitauto Holdings Limited,$1.13B,1130000000
273,BJ,"BJ&#39;s Wholesale Club Holdings, Inc.",$5.61B,5610000000
274,BKH,Black Hills Corporation,$3.77B,3770000000
275,BKI,"Black Knight, Inc.",$11.35B,11350000000
276,BSM,"Black Stone Minerals, L.P.",$1.36B,1360000000
277,BB,BlackBerry Limited,$2.7B,2700000000
278,BGIO,BlackRock 2022 Global Income Opportunity Trust,$184.49M,184490000
279,BFZ,BlackRock California Municipal Income Trust,$425.12M,425120000
280,CII,Blackrock Capital and Income Strategies Fund Inc,$659.61M,659610000
281,BHK,Blackrock Core Bond Trust,$853.25M,853250000
282,HYT,"Blackrock Corporate High Yield Fund, Inc.",$1.28B,1280000000
283,BTZ,BlackRock Credit Allocation Income Trust,$1.28B,1280000000
284,DSU,"Blackrock Debt Strategies Fund, Inc.",$448.52M,448520000
285,BGR,BlackRock Energy and Resources Trust,$215.94M,215940000
286,BDJ,Blackrock Enhanced Equity Dividend Trust,$1.4B,1400000000
287,EGF,"Blackrock Enhanced Government Fund, Inc",$62.98M,62980000
288,FRA,Blackrock Floating Rate Income Strategies Fund Inc,$402.4M,402400000
289,BFO,Blackrock Florida Municipal 2020 Term Trust,$78.45M,78450000
290,BGT,Blackrock Global,$249.69M,249690000
291,BOE,Blackrock Global,$626.85M,626850000
292,BME,Blackrock Health Sciences Trust,$488.64M,488640000
293,BAF,BlackRock Income Investment Quality Trust,$125.73M,125730000
294,BKT,BlackRock Income Trust Inc. (The),$391.4M,391400000
295,BGY,"BLACKROCK INTERNATIONAL, LTD.",$568.33M,568330000
296,BKN,BlackRock Investment Quality Municipal Trust Inc. (The),$275.49M,275490000
297,BTA,BlackRock Long-Term Municipal Advantage Trust,$165.14M,165140000
298,BZM,BlackRock Maryland Municipal Bond Trust,$29.11M,29110000
299,MHE,BlackRock Massachusetts Tax-Exempt Trust,$31.71M,31710000
300,BIT,BlackRock Multi-Sector Income Trust,$565.69M,565690000
301,MUI,Blackrock Muni Intermediate Duration Fund Inc,$538.06M,538060000
302,MUA,"Blackrock MuniAssets Fund, Inc.",$506.27M,506270000
303,BKK,Blackrock Municipal 2020 Term Trust,$304.16M,304160000
304,BBK,Blackrock Municipal Bond Trust,$165.21M,165210000
305,BBF,BlackRock Municipal Income Investment Trust,$134.56M,134560000
306,BYM,Blackrock Municipal Income Quality Trust,$376.84M,376840000
307,BFK,BlackRock Municipal Income Trust,$646.47M,646470000
308,BLE,BlackRock Municipal Income Trust II,$361.4M,361400000
309,BTT,BlackRock Municipal Target Term Trust Inc. (The),$1.72B,1720000000
310,MEN,"Blackrock MuniEnhanced Fund, Inc.",$339.85M,339850000
311,MUC,"Blackrock MuniHoldings California Quality Fund,  Inc.",$594.54M,594540000
312,MUH,"Blackrock MuniHoldings Fund II, Inc.",$168.46M,168460000
313,MHD,"Blackrock MuniHoldings Fund, Inc.",$220.82M,220820000
314,MFL,Blackrock MuniHoldings Investment Quality Fund,$511.6M,511600000
315,MUJ,"Blackrock MuniHoldings New Jersey Insured Fund, Inc.",$421.25M,421250000
316,MHN,"Blackrock MuniHoldings New York Quality Fund, Inc.",$423.4M,423400000
317,MUE,"Blackrock MuniHoldings Quality Fund II, Inc.",$290.52M,290520000
318,MUS,"Blackrock MuniHoldings Quality Fund, Inc.",$166.63M,166630000
319,MVT,"Blackrock MuniVest Fund II, Inc.",$298.12M,298120000
320,MYC,"Blackrock MuniYield California Fund, Inc.",$304.8M,304800000
321,MCA,"Blackrock MuniYield California Insured Fund, Inc.",$500.6M,500600000
322,MYD,"Blackrock MuniYield Fund, Inc.",$654.06M,654060000
323,MYF,Blackrock MuniYield Investment Fund,$185.55M,185550000
324,MFT,Blackrock MuniYield Investment QualityFund,$115.48M,115480000
325,MIY,"Blackrock MuniYield Michigan Quality Fund, Inc.",$413.43M,413430000
326,MYJ,"Blackrock MuniYield New Jersey Fund, Inc.",$338.7M,338700000
327,MYN,"Blackrock MuniYield New York Quality Fund, Inc.",$508.29M,508290000
328,MPA,Blackrock MuniYield Pennsylvania Quality Fund,$184.78M,184780000
329,MQT,"Blackrock MuniYield Quality Fund II, Inc.",$296.19M,296190000
330,MYI,"Blackrock MuniYield Quality Fund III, Inc.",$911.86M,911860000
331,MQY,"Blackrock MuniYield Quality Fund, Inc.",$488.94M,488940000
332,BNY,BlackRock New York Investment Quality Municipal Trust Inc. (Th,$179.59M,179590000
333,BQH,Blackrock New York Municipal Bond Trust,$43.99M,43990000
334,BSE,Blackrock New York Municipal Income Quality Trust,$87.83M,87830000
335,BFY,BlackRock New York Municipal Income Trust II,$70.32M,70320000
336,BCX,BlackRock Resources,$581.41M,581410000
337,BST,BlackRock Science and Technology Trust,$949.8M,949800000
338,BSTZ,BlackRock Science and Technology Trust II,$1.89B,1890000000
339,BSD,BlackRock Strategic Municipal Trust Inc. (The),$100.71M,100710000
340,BUI,"BlackRock Utility, Infrastructure & Power Opportun",$382M,382000000
341,BHV,BlackRock Virginia Municipal Bond Trust,$24.45M,24450000
342,BLK,"BlackRock, Inc.",$87.94B,87940000000
343,BGB,Blackstone / GSO Strategic Credit Fund,$506.94M,506940000
344,BGX,Blackstone GSO Long Short Credit Income Fund,$153.89M,153890000
345,BSL,Blackstone GSO Senior Floating Rate Term Fund,$198.11M,198110000
346,BE,Bloom Energy Corporation,$2.14B,2140000000
347,APRN,"Blue Apron Holdings, Inc.",$189.08M,189080000
348,BXG,Bluegreen Vacations Corporation,$388.52M,388520000
349,BXC,BlueLinx Holdings Inc.,$102.87M,102870000
350,DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund,$118.96M,118960000
351,DHF,BNY Mellon High Yield Strategies Fund,$193.4M,193400000
352,DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc",$248.42M,248420000
353,DSM,"BNY Mellon Strategic Municipal Bond Fund, Inc.",$372.64M,372640000
354,LEO,"BNY Mellon Strategic Municipals, Inc.",$505.77M,505770000
355,BA,Boeing Company (The),$100.81B,100810000000
356,BCC,"Boise Cascade, L.L.C.",$1.74B,1740000000
357,BCEI,"Bonanza Creek Energy, Inc.",$393.65M,393650000
358,BOOT,"Boot Barn Holdings, Inc.",$566.15M,566150000
359,BAH,Booz Allen Hamilton Holding Corporation,$10.1B,10100000000
360,BWA,BorgWarner Inc.,$7.82B,7820000000
361,BORR,Borr Drilling Limited,$161.68M,161680000
362,SAM,"Boston Beer Company, Inc. (The)",$7.97B,7970000000
363,BXP,"Boston Properties, Inc.",$14.22B,14220000000
364,BSX,Boston Scientific Corporation,$53.55B,53550000000
365,BOX,"Box, Inc.",$2.91B,2910000000
366,BYD,Boyd Gaming Corporation,$2.45B,2450000000
367,BPMP,BP Midstream Partners LP,$1.18B,1180000000
368,BP,BP p.l.c.,$81.36B,81360000000
369,BPT,BP Prudhoe Bay Royalty Trust,$64.41M,64410000
370,BRC,Brady Corporation,$2.47B,2470000000
371,BHR,Braemar Hotels & Resorts Inc.,$82.5M,82500000
372,BDN,Brandywine Realty Trust,$1.79B,1790000000
373,BWG,BrandywineGLOBAL Global Income Opportunities Fund ,$261.32M,261320000
374,LND,Brasilagro Cia Brasileira De Propriedades Agricolas,$243.9M,243900000
375,BAK,Braskem S.A.,$3.76B,3760000000
376,BRFS,BRF S.A.,$3.26B,3260000000
377,MNRL,"Brigham Minerals, Inc.",$710.8M,710800000
378,BFAM,Bright Horizons Family Solutions Inc.,$6.71B,6710000000
379,BEDU,Bright Scholar Education Holdings Limited,$1.05B,1050000000
380,BSIG,BrightSphere Investment Group Inc.,$1.02B,1020000000
381,BV,"BrightView Holdings, Inc.",$1.26B,1260000000
382,EAT,"Brinker International, Inc.",$1.09B,1090000000
383,BCO,Brink&#39;s Company (The),$1.93B,1930000000
384,BMY,Bristol-Myers Squibb Company,$135.31B,135310000000
385,VTOL,"Bristow Group, Inc.",$510.49M,510490000
386,BTI,British American Tobacco p.l.c.,$79.61B,79610000000
387,BRX,Brixmor Property Group Inc.,$3.42B,3420000000
388,BRMK,Broadmark Realty Capital Inc.,$1.22B,1220000000
389,BR,"Broadridge Financial Solutions, Inc.",$14.92B,14920000000
390,BKD,Brookdale Senior Living Inc.,$487.22M,487220000
391,BAM,Brookfield Asset Management Inc,$54.77B,54770000000
392,BBU,Brookfield Business Partners L.P.,$2.37B,2370000000
393,BIPC,Brookfield Infrastructure Corporation,$2.26B,2260000000
394,BIP,Brookfield Infrastructure Partners LP,$12.81B,12810000000
395,RA,Brookfield Real Assets Income Fund Inc.,$755.54M,755540000
396,BEP,Brookfield Renewable Partners L.P.,$10.15B,10150000000
397,BRO,"Brown & Brown, Inc.",$12.55B,12550000000
398,BRT,BRT Apartments Corp.,$186.71M,186710000
399,BC,Brunswick Corporation,$5.29B,5290000000
400,BKE,"Buckle, Inc. (The)",$782.13M,782130000
401,BVN,Buenaventura Mining Company Inc.,$2.73B,2730000000
402,BBW,"Build-A-Bear Workshop, Inc.",$36.13M,36130000
403,BG,Bunge Limited,$6.1B,6100000000
404,BURL,"Burlington Stores, Inc.",$12.48B,12480000000
405,BWXT,"BWX Technologies, Inc.",$5.05B,5050000000
406,BY,"Byline Bancorp, Inc.",$497.06M,497060000
407,CABO,"Cable One, Inc.",$10.84B,10840000000
408,CBT,Cabot Corporation,$2.14B,2140000000
409,COG,Cabot Oil & Gas Corporation,$7.39B,7390000000
410,CACI,"CACI International, Inc.",$5.1B,5100000000
411,WHD,"Cactus, Inc.",$1.68B,1680000000
412,CADE,Cadence Bancorporation,$1.05B,1050000000
413,CAE,CAE Inc,$4.06B,4060000000
414,CAI,"CAI International, Inc.",$295.86M,295860000
415,CAL,"Caleres, Inc.",$291.95M,291950000
416,CWT,California Water  Service Group Holding,$2.42B,2420000000
417,CALX,"Calix, Inc",$971.67M,971670000
418,ELY,Callaway Golf Company,$1.75B,1750000000
419,CPE,Callon Petroleum Company,$484.34M,484340000
420,CPT,Camden Property Trust,$8.58B,8580000000
421,CCJ,Cameco Corporation,$4.62B,4620000000
422,CPB,Campbell Soup Company,$14.91B,14910000000
423,CWH,"Camping World Holdings, Inc.",$3.24B,3240000000
424,GOOS,Canada Goose Holdings Inc.,$2.49B,2490000000
425,CM,Canadian Imperial Bank of Commerce,$31.17B,31170000000
426,CNI,Canadian National Railway Company,$67.86B,67860000000
427,CNQ,Canadian Natural Resources Limited,$22.42B,22420000000
428,CP,Canadian Pacific Railway Limited,$36.76B,36760000000
429,CANG,Cango Inc.,$785.06M,785060000
430,CNNE,"Cannae Holdings, Inc.",$3.71B,3710000000
431,CAJ,"Canon, Inc.",$20.76B,20760000000
432,CGC,Canopy Growth Corporation,$6.53B,6530000000
433,CMD,Cantel Medical Corp.,$2.14B,2140000000
434,COF,Capital One Financial Corporation,$28.63B,28630000000
435,CSU,Capital Senior Living Corporation,$18.79M,18790000
436,BXMT,"Capital Trust, Inc.",$3.39B,3390000000
437,CPRI,Capri Holdings Limited,$2.45B,2450000000
438,CMO,Capstead Mortgage Corporation,$570.66M,570660000
439,CAH,"Cardinal Health, Inc.",$16.35B,16350000000
440,CSL,Carlisle Companies Incorporated,$6.74B,6740000000
441,KMX,CarMax Inc,$15.54B,15540000000
442,CCL,Carnival Corporation,$11.9B,11900000000
443,CUK,Carnival Corporation,$9.1B,9100000000
